2022-07-21 17:01:22,236 [ERROR] [TextLayover.py run 50] || 27585 139861813266176 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,211 [ERROR] [TextLayover.py run 50] || 27585 139861955876608 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,247 [ERROR] [TextLayover.py run 50] || 27585 139861492840192 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,247 [ERROR] [TextLayover.py run 50] || 27585 139861516351232 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,258 [ERROR] [TextLayover.py run 50] || 27585 139861469329152 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,278 [ERROR] [TextLayover.py run 50] || 27585 139861351896832 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,281 [ERROR] [TextLayover.py run 50] || 27585 139861460936448 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,388 [ERROR] [TextLayover.py run 50] || 27585 139862549796608 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,389 [ERROR] [TextLayover.py run 50] || 27585 139862590093056 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,389 [ERROR] [TextLayover.py run 50] || 27585 139862558189312 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,397 [ERROR] [TextLayover.py run 50] || 27585 139862566582016 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,398 [ERROR] [TextLayover.py run 50] || 27585 139862222644992 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,414 [ERROR] [TextLayover.py run 50] || 27585 139862574974720 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,419 [ERROR] [TextLayover.py run 50] || 27585 139862541403904 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,435 [ERROR] [TextLayover.py run 50] || 27585 139862246156032 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

